페이지,클릭수,노출수,CTR,게재순위
https://highpublic-gangnam.co.kr/price.html,0.0,38.0,0.0,44.03
https://highpublic-gangnam.co.kr/,0.0,12.0,0.0,70.42
https://highpublic-gangnam.co.kr/location.html,0.0,2.0,0.0,2.0
https://highpublic-gangnam.co.kr/blog.html,0.0,1.0,0.0,3.0
