검색어,클릭수,노출수,CTR,게재순위
강남 달토 가격,0.0,46.0,0.0,40.87
달리는토끼,0.0,25.0,0.0,36.96
강남 달토 주대,0.0,22.0,0.0,48.45
강남 달리는토끼,0.0,3.0,0.0,39.0
강남달리는토끼,0.0,2.0,0.0,14.5
달리는 토끼,0.0,2.0,0.0,21.5
달토 주대,0.0,2.0,0.0,42.5
딜토,0.0,1.0,0.0,5.0
하이토끼,0.0,1.0,0.0,25.0
달리는토끼 2차,0.0,1.0,0.0,29.0
강남 하이퍼블릭 예약,0.0,1.0,0.0,56.0
강남달토,0.0,1.0,0.0,79.0
강남 달토,0.0,1.0,0.0,80.0
달토,0.0,1.0,0.0,113.0
