검색어,클릭수,노출수,CTR,게재순위
강남 달토 가격,0.0,32.0,0.0,45.16
달토 하이퍼블릭,0.0,3.0,0.0,44.0
강남 달리는토끼,0.0,3.0,0.0,88.0
강남 달토 주대,0.0,2.0,0.0,49.5
강남 달토,0.0,2.0,0.0,81.0
강남달토,0.0,1.0,0.0,79.0
달리는토끼,0.0,1.0,0.0,91.0
